,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
3742,7.656119796238886e+16,7.65611979642014e+16,37.09024,-95.712891,US,46.729553,-94.6858998,US
3793,7.65611979618522e+16,7.656119796430827e+16,53.7190281,-2.0727839,GB,59.32932349999999,18.0685808,SE
3818,7.656119796155989e+16,7.656119796432958e+16,31.9685988,-99.9018131,US,40.6331249,-89.3985283,US
4077,7.656119796275098e+16,7.656119796483504e+16,40.7127753,-74.0059728,US,25.2048493,55.2707828,AE
4240,7.656119796335586e+16,7.656119796514749e+16,53.7190281,-2.0727839,GB,53.4083714,-2.9915726,GB
4252,7.656119796044982e+16,7.656119796510152e+16,53.5461245,-113.4938229,CA,40.7127753,-74.0059728,US
4421,7.656119796042307e+16,7.65611979654156e+16,37.09024,-95.712891,US,37.09024,-95.712891,US
4519,7.656119796321126e+16,7.65611979655765e+16,40.0583238,-74.4056612,US,40.0583238,-74.4056612,US
4549,7.656119796264256e+16,7.656119796559533e+16,-14.235004,-51.92528,BR,-25.4289541,-49.267137,BR
4728,7.656119796225938e+16,7.656119796589944e+16,51.31475930000001,-0.5599501,GB,53.1423672,-7.692053599999999,IE
4793,7.656119796221322e+16,7.656119796604082e+16,-16.8155098,29.6904746,ZW,60.12816100000001,18.643501,SE
4824,7.656119796030198e+16,7.656119796610362e+16,51.9244201,4.4777326,NL,0.5671364999999999,33.7461847,UG
4851,7.656119796450333e+16,7.656119796610611e+16,27.6648274,-81.5157535,US,30.2841224,-81.3961338,US
5124,7.65611979602734e+16,7.656119796656946e+16,52.4750743,-1.829833,GB,49.66361269999999,2.5280732,FR
5248,7.656119796246272e+16,7.656119796672725e+16,61.52401,105.318756,RU,47.8016702,22.8575926,RO
5281,7.656119796272198e+16,7.656119796681872e+16,46.227638,2.213749,FR,48.856614,2.3522219,FR
5291,7.656119796068731e+16,7.656119796688891e+16,47.7510741,-120.7401385,US,53.5461245,-113.4938229,CA
5423,7.656119796255389e+16,7.656119796703629e+16,27.044224,-82.2359254,US,33.1284047,-107.2528069,US
5440,7.656119796337246e+16,7.65611979671666e+16,-33.8688197,151.2092955,AU,37.09024,-95.712891,US
5501,7.656119796253163e+16,7.65611979672104e+16,39.9525839,-75.1652215,US,36.778261,-119.4179324,US
5605,7.656119796475198e+16,7.656119796740307e+16,41.49932,-81.6943605,US,37.09024,-95.712891,US
5741,7.656119796033339e+16,7.656119796759904e+16,35.7135721,139.9279808,JP,35.3354155,140.1832516,JP
5750,7.65611979646533e+16,7.65611979675586e+16,49.895136,-97.13837439999999,CA,-23.5505199,-46.63330939999999,BR
5752,7.656119796616438e+16,7.656119796758867e+16,53.7190281,-2.0727839,GB,53.100319,-0.9936305999999998,GB
5782,7.656119796754869e+16,7.656119796759984e+16,37.566535,126.9779692,KR,35.907757,127.766922,KR
5805,7.656119796527363e+16,7.656119796766883e+16,51.4427238,6.0608726,NL,34.0028786,-84.1446376,US
5806,7.65611979654031e+16,7.656119796766883e+16,52.51853699999999,5.471422,NL,34.0028786,-84.1446376,US
5889,7.656119796600976e+16,7.656119796769328e+16,25.0329694,121.5654177,TW,23.69781,120.960515,TW
5917,7.656119796053669e+16,7.656119796773131e+16,42.8536043,13.5749442,IT,42.8536043,13.5749442,IT
5918,7.656119796118627e+16,7.656119796773131e+16,55.635065,12.0148801,DK,42.8536043,13.5749442,IT
5938,7.65611979603394e+16,7.656119796772699e+16,51.165691,10.451526,DE,51.165691,10.451526,DE
6001,7.656119796752686e+16,7.656119796782947e+16,27.6648274,-81.5157535,US,48.8499198,2.6370411,FR
6015,7.656119796461162e+16,7.656119796785603e+16,46.227638,2.213749,FR,50.0546886,5.467698299999999,BE
6040,7.656119796168926e+16,7.656119796786328e+16,45.5016889,-73.567256,CA,39.0457549,-76.64127119999999,US
6041,7.656119796200443e+16,7.656119796786328e+16,37.09024,-95.712891,US,39.0457549,-76.64127119999999,US
6117,7.656119796589168e+16,7.656119796807738e+16,33.7454725,-117.867653,US,-2.4706347,29.5774616,RW
