,appid,total_playtime,appname,lat,lon,country
22604,222880,913,Insurgency,37.09024,-95.712891,US
22614,278910,148,Interplanetary,37.09024,-95.712891,US
22618,246620,931,Plague Inc: Evolved,37.09024,-95.712891,US
22641,286160,12118,Tabletop Simulator,37.09024,-95.712891,US
22651,311690,81,Enter the Gungeon,37.09024,-95.712891,US
22652,247080,103,Crypt of the NecroDancer,37.09024,-95.712891,US
22653,316010,58,Magic Duels,37.09024,-95.712891,US
22655,241930,1460,Middle-earth™: Shadow of Mordor™,37.09024,-95.712891,US
22689,239140,161,Dying Light,37.09024,-95.712891,US
22694,261640,883,Borderlands: The Pre-Sequel,37.09024,-95.712891,US
22715,329130,3008,Reassembly,37.09024,-95.712891,US
22733,305620,83,The Long Dark,37.09024,-95.712891,US
22735,218620,482,PAYDAY 2,37.09024,-95.712891,US
22763,339800,383,HuniePop,37.09024,-95.712891,US
22767,342200,17555,MechWarrior Online,37.09024,-95.712891,US
22788,314410,2262,Rampage Knights,37.09024,-95.712891,US
22861,271590,9376,Grand Theft Auto V,37.09024,-95.712891,US
22884,232090,1492,Killing Floor 2,37.09024,-95.712891,US
22903,238370,78,Magicka 2,37.09024,-95.712891,US
22905,394510,2939,HELLDIVERS™,37.09024,-95.712891,US
22932,268500,1338,XCOM 2,37.09024,-95.712891,US
22957,434570,90,Blood and Bacon,37.09024,-95.712891,US
22976,374320,1448,DARK SOULS™ III,37.09024,-95.712891,US
22991,223100,160,Homefront: The Revolution,37.09024,-95.712891,US
22998,34330,148,Total War: SHOGUN 2,37.09024,-95.712891,US
23005,220,1153,Half-Life 2,37.09024,-95.712891,US
23025,26800,885,Braid,37.09024,-95.712891,US
23036,1250,134,Killing Floor,37.09024,-95.712891,US
23038,550,58492,Left 4 Dead 2,37.09024,-95.712891,US
23105,8980,1629,Borderlands GOTY,37.09024,-95.712891,US
23135,22380,7042,Fallout: New Vegas,37.09024,-95.712891,US
23166,42910,652,Magicka,37.09024,-95.712891,US
23191,400,1123,Portal,37.09024,-95.712891,US
23202,620,3643,Portal 2,37.09024,-95.712891,US
23252,380,289,Half-Life 2: Episode One,37.09024,-95.712891,US
23260,105600,1043,Terraria,37.09024,-95.712891,US
23284,200010,32,Quantum Conundrum,37.09024,-95.712891,US
23286,49520,486,Borderlands 2,37.09024,-95.712891,US
23297,219150,720,Hotline Miami,37.09024,-95.712891,US
23307,221380,81,Age of Empires II (2013),37.09024,-95.712891,US
23308,286160,336,Tabletop Simulator,37.09024,-95.712891,US
